Year,SA3 name,SA2 code,SA2 name,M (0-4),M (5-9),M (10-14),M (15-19),M (20-24),M (25-29),M (30-34),M (35-39),M (40-44),M (45-49),M (50-54),M (55-59),M (60-64),M (65-69),M (70-74),M (75-79),M (80-84),M (85+),Total M,F (0-4),F (5-9),F (10-14),F (15-19),F (20-24),F (25-29),F (30-34),F (35-39),F (40-44),F (45-49),F (50-54),F (55-59),F (60-64),F (65-69),F (70-74),F (75-79),F (80-84),F (85+),Total F,A (0-4),A (5-9),A (10-14),A (15-19),A (20-24),A (25-29),A (30-34),A (35-39),A (40-44),A (45-49),A (50-54),A (55-59),A (60-64),A (65-69),A (70-74),A (75-79),A (80-84),A (85+),Total A
2011,Melbourne City,206041117.0,Carlton,233.0,178.0,147.0,611.0,2201.0,1387.0,701.0,430.0,256.0,194.0,200.0,182.0,191.0,137.0,102.0,64.0,63.0,19.0,7296.0,215.0,160.0,129.0,784.0,2561.0,1370.0,719.0,352.0,258.0,232.0,220.0,242.0,205.0,125.0,103.0,71.0,36.0,44.0,7826.0,448.0,338.0,276.0,1395.0,4762.0,2757.0,1420.0,782.0,514.0,426.0,420.0,424.0,396.0,262.0,205.0,135.0,99.0,63.0,15122.0
2011,Melbourne City,206041118.0,Docklands,106.0,40.0,26.0,122.0,440.0,672.0,530.0,280.0,209.0,184.0,199.0,150.0,167.0,98.0,42.0,26.0,7.0,1.0,3299.0,116.0,30.0,34.0,132.0,469.0,576.0,422.0,198.0,158.0,171.0,186.0,157.0,125.0,69.0,26.0,17.0,0.0,11.0,2897.0,222.0,70.0,60.0,254.0,909.0,1248.0,952.0,478.0,367.0,355.0,385.0,307.0,292.0,167.0,68.0,43.0,7.0,12.0,6196.0
2011,Melbourne City,206041119.0,East Melbourne,86.0,26.0,35.0,47.0,181.0,422.0,401.0,199.0,169.0,154.0,141.0,155.0,164.0,141.0,89.0,35.0,36.0,28.0,2509.0,99.0,31.0,32.0,49.0,263.0,482.0,368.0,208.0,144.0,142.0,157.0,180.0,171.0,158.0,59.0,56.0,56.0,74.0,2729.0,185.0,57.0,67.0,96.0,444.0,904.0,769.0,407.0,313.0,296.0,298.0,335.0,335.0,299.0,148.0,91.0,92.0,102.0,5238.0
2011,Melbourne City,206041120.0,Flemington Racecourse,0.0,0.0,3.0,6.0,7.0,8.0,4.0,0.0,0.0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,12.0,14.0,14.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,3.0,6.0,19.0,22.0,18.0,3.0,0.0,3.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,86.0
2011,Melbourne City,206041121.0,Kensington (Vic.),350.0,216.0,147.0,161.0,504.0,767.0,720.0,517.0,442.0,290.0,251.0,196.0,157.0,109.0,88.0,59.0,32.0,19.0,5025.0,337.0,191.0,145.0,166.0,564.0,889.0,733.0,537.0,389.0,278.0,223.0,210.0,174.0,117.0,94.0,71.0,52.0,64.0,5234.0,687.0,407.0,292.0,327.0,1068.0,1656.0,1453.0,1054.0,831.0,568.0,474.0,406.0,331.0,226.0,182.0,130.0,84.0,83.0,10259.0
2011,Melbourne City,206041124.0,Parkville,82.0,44.0,46.0,518.0,845.0,353.0,240.0,142.0,125.0,109.0,101.0,98.0,99.0,100.0,72.0,40.0,47.0,51.0,3112.0,76.0,59.0,72.0,614.0,943.0,403.0,227.0,130.0,120.0,108.0,97.0,119.0,119.0,87.0,50.0,50.0,56.0,109.0,3439.0,158.0,103.0,118.0,1132.0,1788.0,756.0,467.0,272.0,245.0,217.0,198.0,217.0,218.0,187.0,122.0,90.0,103.0,160.0,6551.0
2011,Melbourne City,206041125.0,South Yarra - West,129.0,73.0,71.0,127.0,242.0,470.0,412.0,281.0,208.0,161.0,136.0,173.0,159.0,166.0,120.0,70.0,67.0,55.0,3120.0,102.0,73.0,69.0,161.0,346.0,535.0,398.0,236.0,192.0,154.0,160.0,148.0,193.0,157.0,103.0,80.0,69.0,130.0,3306.0,231.0,146.0,140.0,288.0,588.0,1005.0,810.0,517.0,400.0,315.0,296.0,321.0,352.0,323.0,223.0,150.0,136.0,185.0,6426.0
2011,Melbourne City,206041127.0,West Melbourne - Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,Melbourne City,206041503.0,Melbourne CBD - East,93.0,30.0,19.0,251.0,1092.0,926.0,514.0,294.0,188.0,146.0,138.0,103.0,114.0,95.0,57.0,26.0,29.0,14.0,4129.0,72.0,32.0,41.0,257.0,1110.0,807.0,458.0,203.0,136.0,143.0,123.0,145.0,121.0,58.0,38.0,24.0,19.0,23.0,3810.0,165.0,62.0,60.0,508.0,2202.0,1733.0,972.0,497.0,324.0,289.0,261.0,248.0,235.0,153.0,95.0,50.0,48.0,37.0,7939.0
2011,Melbourne City,206041504.0,Melbourne CBD - North,52.0,23.0,13.0,279.0,1047.0,765.0,382.0,182.0,74.0,84.0,59.0,79.0,61.0,31.0,17.0,9.0,5.0,10.0,3172.0,65.0,21.0,5.0,390.0,1228.0,765.0,301.0,96.0,72.0,65.0,67.0,63.0,44.0,20.0,9.0,5.0,11.0,2.0,3229.0,117.0,44.0,18.0,669.0,2275.0,1530.0,683.0,278.0,146.0,149.0,126.0,142.0,105.0,51.0,26.0,14.0,16.0,12.0,6401.0
