"Year","SA3.name","SA2.code","SA2.name","Total.M","Total.F","Total.A","M_Child","M_Teen","M_Adult","M_Old","F_Child","F_Teen","F_Adult","F_Old","A_Child","A_Teen","A_Adult","A_Old","Check_Child","Check_Teen","Check_Adult","Check_Old"
2011,"Melbourne City",206041117,"Carlton",7296,7826,15122,411,758,5551,576,375,913,5954,584,786,1671,11505,1160,786,1671,11505,1160
2011,"Melbourne City",206041118,"Docklands",3299,2897,6196,146,148,2664,341,146,166,2337,248,292,314,5001,589,292,314,5001,589
2011,"Melbourne City",206041119,"East Melbourne",2509,2729,5238,112,82,1822,493,130,81,1944,574,242,163,3766,1067,242,163,3766,1067
2011,"Melbourne City",206041120,"Melbourne (Remainder)",40,46,86,0,9,28,3,0,0,46,0,0,9,74,3,0,9,74,3
2011,"Melbourne City",206041121,"Kensington",5025,5234,10259,566,308,3687,464,528,311,3823,572,1094,619,7510,1036,1094,619,7510,1036
2011,"Melbourne City",206041124,"Parkville",3112,3439,6551,126,564,2013,409,135,686,2147,471,261,1250,4160,880,261,1250,4160,880
2011,"Melbourne City",206041125,"South Yarra",3120,3306,6426,202,198,2083,637,175,230,2169,732,377,428,4252,1369,377,428,4252,1369
2011,"Melbourne City",206041127,"West Melbourne (Industrial)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Melbourne City",206041503,"Melbourne (CBD)",4129,3810,7939,123,270,3401,335,104,298,3125,283,227,568,6526,618,227,568,6526,618
2011,"Melbourne City",206041504,"Melbourne (CBD)",3172,3229,6401,75,292,2672,133,86,395,2657,91,161,687,5329,224,161,687,5329,224
2011,"Melbourne City",206041505,"Melbourne (CBD)",3871,3604,7475,99,256,3366,150,81,259,3139,125,180,515,6505,275,180,515,6505,275
2011,"Melbourne City",206041506,"North Melbourne",6375,6254,12629,480,595,4645,655,419,589,4574,672,899,1184,9219,1327,899,1184,9219,1327
2011,"Melbourne City",206041507,"Melbourne (Remainder)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Melbourne City",206041508,"Southbank",2528,2231,4759,100,135,2083,210,92,149,1799,191,192,284,3882,401,192,284,3882,401
2011,"Melbourne City",206041509,"Southbank",3839,3576,7415,131,175,3209,324,124,204,2989,259,255,379,6198,583,255,379,6198,583
2011,"Melbourne City",206041510,"West Melbourne (Residential)",2134,1598,3732,90,118,1792,134,93,98,1258,149,183,216,3050,283,183,216,3050,283
2011,"Port Phillip",206051130,"Port Melbourne",7476,7937,15413,791,403,4970,1312,670,416,5337,1514,1461,819,10307,2826,1461,819,10307,2826
2011,"Port Phillip",206051511,"Port Melbourne",47,24,71,2,1,36,8,3,0,16,5,5,1,52,13,5,1,52,13
2012,"Melbourne City",206041117,"Carlton",7500,8105,15605,434,837,5630,599,377,1078,6044,606,811,1915,11674,1205,811,1915,11674,1205
2012,"Melbourne City",206041118,"Docklands",3604,3198,6802,176,164,2914,350,173,184,2576,265,349,348,5490,615,349,348,5490,615
2012,"Melbourne City",206041119,"East Melbourne",2529,2751,5280,135,88,1803,503,139,86,1925,601,274,174,3728,1104,274,174,3728,1104
2012,"Melbourne City",206041120,"Melbourne (Remainder)",40,47,87,0,3,31,6,0,0,47,0,0,3,78,6,0,3,78,6
2012,"Melbourne City",206041121,"Kensington",5133,5354,10487,592,316,3737,488,559,328,3865,602,1151,644,7602,1090,1151,644,7602,1090
2012,"Melbourne City",206041124,"Parkville",3266,3606,6872,147,571,2123,425,160,710,2204,532,307,1281,4327,957,307,1281,4327,957
2012,"Melbourne City",206041125,"South Yarra",3106,3294,6400,200,217,2042,647,187,227,2134,746,387,444,4176,1393,387,444,4176,1393
2012,"Melbourne City",206041127,"West Melbourne (Industrial)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Melbourne City",206041503,"Melbourne (CBD)",4349,4025,8374,145,275,3563,366,120,315,3298,292,265,590,6861,658,265,590,6861,658
2012,"Melbourne City",206041504,"Melbourne (CBD)",3838,4042,7880,88,416,3183,151,97,554,3273,118,185,970,6456,269,185,970,6456,269
2012,"Melbourne City",206041505,"Melbourne (CBD)",4421,4207,8628,114,295,3857,155,106,322,3631,148,220,617,7488,303,220,617,7488,303
2012,"Melbourne City",206041506,"North Melbourne",6673,6648,13321,523,622,4859,669,452,627,4865,704,975,1249,9724,1373,975,1249,9724,1373
2012,"Melbourne City",206041507,"Melbourne (Remainder)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Melbourne City",206041508,"Southbank",2824,2526,5350,122,149,2304,249,106,178,2025,217,228,327,4329,466,228,327,4329,466
2012,"Melbourne City",206041509,"Southbank",4308,4088,8396,165,194,3607,342,152,234,3404,298,317,428,7011,640,317,428,7011,640
2012,"Melbourne City",206041510,"West Melbourne (Residential)",2310,1781,4091,100,128,1938,144,131,101,1401,148,231,229,3339,292,231,229,3339,292
2012,"Port Phillip",206051130,"Port Melbourne",7730,8234,15964,834,443,5075,1378,729,427,5503,1575,1563,870,10578,2953,1563,870,10578,2953
2012,"Port Phillip",206051511,"Port Melbourne",53,26,79,4,3,35,11,3,0,19,4,7,3,54,15,7,3,54,15
2013,"Melbourne City",206041117,"Carlton",7972,8747,16719,450,961,5920,641,392,1269,6413,673,842,2230,12333,1314,842,2230,12333,1314
2013,"Melbourne City",206041118,"Docklands",4200,3788,7988,221,183,3396,400,214,218,3044,312,435,401,6440,712,435,401,6440,712
2013,"Melbourne City",206041119,"East Melbourne",2557,2776,5333,145,90,1792,530,146,89,1921,620,291,179,3713,1150,291,179,3713,1150
2013,"Melbourne City",206041120,"Melbourne (Remainder)",40,48,88,0,3,32,5,0,0,48,0,0,3,80,5,0,3,80,5
2013,"Melbourne City",206041121,"Kensington",5263,5499,10762,624,318,3797,524,590,335,3939,635,1214,653,7736,1159,1214,653,7736,1159
2013,"Melbourne City",206041124,"Parkville",3395,3779,7174,157,585,2216,437,179,734,2286,580,336,1319,4502,1017,336,1319,4502,1017
2013,"Melbourne City",206041125,"South Yarra",3081,3312,6393,203,219,1998,661,195,219,2141,757,398,438,4139,1418,398,438,4139,1418
2013,"Melbourne City",206041127,"West Melbourne (Industrial)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Melbourne City",206041503,"Melbourne (CBD)",4966,4680,9646,166,314,4034,452,140,371,3809,360,306,685,7843,812,306,685,7843,812
2013,"Melbourne City",206041504,"Melbourne (CBD)",4621,4970,9591,101,555,3792,173,121,735,3982,132,222,1290,7774,305,222,1290,7774,305
2013,"Melbourne City",206041505,"Melbourne (CBD)",5270,5143,10413,158,340,4585,187,142,409,4408,184,300,749,8993,371,300,749,8993,371
2013,"Melbourne City",206041506,"North Melbourne",7045,7130,14175,573,670,5094,708,509,681,5200,740,1082,1351,10294,1448,1082,1351,10294,1448
2013,"Melbourne City",206041507,"Melbourne (Remainder)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
