"Year","SA2.name","Gender","Age_category","Population_Count"
2011,"Carlton","M","Child",411
2011,"Carlton","M","Teen",758
2011,"Carlton","M","Adult",5551
2011,"Carlton","M","Old",576
2011,"Carlton","F","Child",375
2011,"Carlton","F","Teen",913
2011,"Carlton","F","Adult",5954
2011,"Carlton","F","Old",584
2011,"Carlton","A","Child",786
2011,"Carlton","A","Teen",1671
2011,"Carlton","A","Adult",11505
2011,"Carlton","A","Old",1160
2011,"Docklands","M","Child",146
2011,"Docklands","M","Teen",148
2011,"Docklands","M","Adult",2664
2011,"Docklands","M","Old",341
2011,"Docklands","F","Child",146
2011,"Docklands","F","Teen",166
2011,"Docklands","F","Adult",2337
2011,"Docklands","F","Old",248
2011,"Docklands","A","Child",292
2011,"Docklands","A","Teen",314
2011,"Docklands","A","Adult",5001
2011,"Docklands","A","Old",589
2011,"East Melbourne","M","Child",112
2011,"East Melbourne","M","Teen",82
2011,"East Melbourne","M","Adult",1822
2011,"East Melbourne","M","Old",493
2011,"East Melbourne","F","Child",130
2011,"East Melbourne","F","Teen",81
2011,"East Melbourne","F","Adult",1944
2011,"East Melbourne","F","Old",574
2011,"East Melbourne","A","Child",242
2011,"East Melbourne","A","Teen",163
2011,"East Melbourne","A","Adult",3766
2011,"East Melbourne","A","Old",1067
2011,"Melbourne (Remainder)","M","Child",0
2011,"Melbourne (Remainder)","M","Teen",9
2011,"Melbourne (Remainder)","M","Adult",28
2011,"Melbourne (Remainder)","M","Old",3
2011,"Melbourne (Remainder)","F","Child",0
2011,"Melbourne (Remainder)","F","Teen",0
2011,"Melbourne (Remainder)","F","Adult",46
2011,"Melbourne (Remainder)","F","Old",0
2011,"Melbourne (Remainder)","A","Child",0
2011,"Melbourne (Remainder)","A","Teen",9
2011,"Melbourne (Remainder)","A","Adult",74
2011,"Melbourne (Remainder)","A","Old",3
2011,"Kensington","M","Child",566
2011,"Kensington","M","Teen",308
2011,"Kensington","M","Adult",3687
2011,"Kensington","M","Old",464
2011,"Kensington","F","Child",528
2011,"Kensington","F","Teen",311
2011,"Kensington","F","Adult",3823
2011,"Kensington","F","Old",572
2011,"Kensington","A","Child",1094
2011,"Kensington","A","Teen",619
2011,"Kensington","A","Adult",7510
2011,"Kensington","A","Old",1036
2011,"Parkville","M","Child",126
2011,"Parkville","M","Teen",564
2011,"Parkville","M","Adult",2013
2011,"Parkville","M","Old",409
2011,"Parkville","F","Child",135
2011,"Parkville","F","Teen",686
2011,"Parkville","F","Adult",2147
2011,"Parkville","F","Old",471
2011,"Parkville","A","Child",261
2011,"Parkville","A","Teen",1250
2011,"Parkville","A","Adult",4160
2011,"Parkville","A","Old",880
2011,"South Yarra","M","Child",202
2011,"South Yarra","M","Teen",198
2011,"South Yarra","M","Adult",2083
2011,"South Yarra","M","Old",637
2011,"South Yarra","F","Child",175
2011,"South Yarra","F","Teen",230
2011,"South Yarra","F","Adult",2169
2011,"South Yarra","F","Old",732
2011,"South Yarra","A","Child",377
2011,"South Yarra","A","Teen",428
2011,"South Yarra","A","Adult",4252
2011,"South Yarra","A","Old",1369
2011,"West Melbourne (Industrial)","M","Child",0
2011,"West Melbourne (Industrial)","M","Teen",0
2011,"West Melbourne (Industrial)","M","Adult",0
2011,"West Melbourne (Industrial)","M","Old",0
2011,"West Melbourne (Industrial)","F","Child",0
2011,"West Melbourne (Industrial)","F","Teen",0
2011,"West Melbourne (Industrial)","F","Adult",0
2011,"West Melbourne (Industrial)","F","Old",0
2011,"West Melbourne (Industrial)","A","Child",0
2011,"West Melbourne (Industrial)","A","Teen",0
2011,"West Melbourne (Industrial)","A","Adult",0
2011,"West Melbourne (Industrial)","A","Old",0
2011,"Melbourne (CBD)","M","Child",123
2011,"Melbourne (CBD)","M","Teen",270
2011,"Melbourne (CBD)","M","Adult",3401
2011,"Melbourne (CBD)","M","Old",335
2011,"Melbourne (CBD)","F","Child",104
2011,"Melbourne (CBD)","F","Teen",298
2011,"Melbourne (CBD)","F","Adult",3125
2011,"Melbourne (CBD)","F","Old",283
2011,"Melbourne (CBD)","A","Child",227
2011,"Melbourne (CBD)","A","Teen",568
2011,"Melbourne (CBD)","A","Adult",6526
2011,"Melbourne (CBD)","A","Old",618
2011,"Melbourne (CBD)","M","Child",75
2011,"Melbourne (CBD)","M","Teen",292
2011,"Melbourne (CBD)","M","Adult",2672
2011,"Melbourne (CBD)","M","Old",133
2011,"Melbourne (CBD)","F","Child",86
2011,"Melbourne (CBD)","F","Teen",395
2011,"Melbourne (CBD)","F","Adult",2657
2011,"Melbourne (CBD)","F","Old",91
2011,"Melbourne (CBD)","A","Child",161
2011,"Melbourne (CBD)","A","Teen",687
2011,"Melbourne (CBD)","A","Adult",5329
2011,"Melbourne (CBD)","A","Old",224
2011,"Melbourne (CBD)","M","Child",99
