"featurenam","sum_p_res_2011_tJ","sum_p_com_2011_tJ","sum_total_2011_tJ","sum_p_res_2016_tJ","sum_p_com_2016_tJ","sum_total_2016_tJ","sum_p_res_2021_tJ","sum_p_com_2021_tJ","sum_total_2021_tJ","no_property"
"Carlton",0.095045483772172,0.572300513590415,0.667346036245987,0.341878769310201,0.649528638333215,0.991407407643659,0.397601354558989,0.721287384538415,1.11888873909753,2114
"Docklands",0.0432577313310415,0.754949319388859,0.798207053985817,0.146446339060769,0.840347674681259,0.986794013741846,0.171655878308422,0.920057480955659,1.09171335926422,138
"East Melbourne",0.0363039335449512,0.586613237513602,0.622917180026986,0.130079596999925,0.650261617396402,0.780341214396342,0.150326480118659,0.712899395069602,0.863225875188261,865
"Kensington",0.0588828128190833,0.155221390361686,0.214104213003573,0.265597477990125,0.181703244154486,0.447300722144626,0.306411465464316,0.206435720459686,0.512847185924004,3269
"Melbourne (CBD)",0.159531757019906,5.3982837063759,5.55781556181189,0.537690032199424,5.98878596521099,6.52647599741036,0.62760054285987,6.54018080838499,7.16778135124464,1480
"Melbourne (Remainder)",0.0148500044362361,0.508051176723522,0.522901183040519,0.0497829989080724,0.582588319203522,0.632371318111591,0.0581931694231207,0.653598328275522,0.711791497698649,63
"North Melbourne",0.0731585861565315,0.386781027448023,0.459939655349152,0.293130234515543,0.449972955558423,0.743103190073949,0.337910348973786,0.509472299070423,0.847382648044203,2636
"Parkville",0.0245904110071936,0.830507589216629,0.855098002867743,0.104066339858155,1.00087828369983,1.10494462355799,0.120035676924111,1.16649717111423,1.28653284803835,815
"Port Melbourne",0,0.4264834660596,0.4264834660596,0,0.468721833516,0.468721833516,0,0.507251921724,0.507251921724,120
"South Yarra",0.0314413575677538,0.0321966250702848,0.0636379860364745,0.122810964538996,0.0368545121818848,0.159665476720869,0.141766591224458,0.0410049259270848,0.182771517151521,768
"Southbank",0.0670115863628073,1.02355204303294,1.09056363497622,0.224289124566477,1.12667922068254,1.35096834524903,0.26317857195425,1.22341470116254,1.48659327311679,235
"West Melbourne (Industrial)",0,0.292354561972476,0.292354561972476,0,0.373686076670076,0.373686076670076,0,0.450228573798876,0.450228573798876,129
"West Melbourne (Residential)",0.0232816998095806,0.220922871968405,0.244204583879634,0.0955887593140164,0.281159994552005,0.37674875386606,0.109890070035828,0.337584352146012,0.447474422181744,931
