"Year","CLUE_Areas","Population_CO2_tonnes","Energy_CO2_tonnes","Trees_CO2_absorbed_tonnes"
2011,"Carlton",6215.913907632,48.9418236062082,7.07022990756033
2011,"Carlton",6215.913907632,48.9418236062082,18.0968691322478
2012,"Carlton",6409.1681082,54.3752012477989,7.07022990756033
2012,"Carlton",6409.1681082,54.3752012477989,18.0968691322478
2021,"Carlton",7051.514043816,74.0603645296048,7.07022990756033
2021,"Carlton",7051.514043816,74.0603645296048,18.0968691322478
2018,"Carlton",8585.288864064,72.9638262160037,7.07022990756033
2018,"Carlton",8585.288864064,72.9638262160037,18.0968691322478
2015,"Carlton",7802.353264464,66.1588925221985,7.07022990756033
2015,"Carlton",7802.353264464,66.1588925221985,18.0968691322478
2016,"Carlton",8329.437280296,72.3876118691018,7.07022990756033
2016,"Carlton",8329.437280296,72.3876118691018,18.0968691322478
2013,"Carlton",6866.758101456,57.3133426356708,7.07022990756033
2013,"Carlton",6866.758101456,57.3133426356708,18.0968691322478
2014,"Carlton",7328.90474712,60.7858539655316,7.07022990756033
2014,"Carlton",7328.90474712,60.7858539655316,18.0968691322478
2019,"Carlton",8678.036019312,73.0056562622587,7.07022990756033
2019,"Carlton",8678.036019312,73.0056562622587,18.0968691322478
2020,"Carlton",8620.547893848,71.8577533128601,7.07022990756033
2020,"Carlton",8620.547893848,71.8577533128601,18.0968691322478
2017,"Carlton",8502.92569368,71.9825434631228,7.07022990756033
2017,"Carlton",8502.92569368,71.9825434631228,18.0968691322478
2013,"Docklands",3284.206832808,62.8270791298941,9.1879370505969
2013,"Docklands",3284.206832808,62.8270791298941,4.64352518541312
2014,"Docklands",3761.995019112,64.2827232767245,9.1879370505969
2014,"Docklands",3761.995019112,64.2827232767245,4.64352518541312
2011,"Docklands",2555.122154112,58.5389089252119,9.1879370505969
2011,"Docklands",2555.122154112,58.5389089252119,4.64352518541312
2012,"Docklands",2800.677170808,62.0816008264049,9.1879370505969
2012,"Docklands",2800.677170808,62.0816008264049,4.64352518541312
2021,"Docklands",6492.712979808,72.2615989630583,9.1879370505969
2021,"Docklands",6492.712979808,72.2615989630583,4.64352518541312
2018,"Docklands",6307.507460232,72.009207589548,9.1879370505969
2018,"Docklands",6307.507460232,72.009207589548,4.64352518541312
2015,"Docklands",4276.099053864,67.7640707958517,9.1879370505969
2015,"Docklands",4276.099053864,67.7640707958517,4.64352518541312
2016,"Docklands",4838.031548064,72.0507649133609,9.1879370505969
2016,"Docklands",4838.031548064,72.0507649133609,4.64352518541312
2017,"Docklands",5690.77337664,71.3365652151598,9.1879370505969
2017,"Docklands",5690.77337664,71.3365652151598,4.64352518541312
2019,"Docklands",6689.705852016,71.7648096378227,9.1879370505969
2019,"Docklands",6689.705852016,71.7648096378227,4.64352518541312
2020,"Docklands",6814.914667704,70.3683420932987,9.1879370505969
2020,"Docklands",6814.914667704,70.3683420932987,4.64352518541312
2013,"East Melbourne",2148.368728968,49.3248628875158,12.3923076303544
2013,"East Melbourne",2148.368728968,49.3248628875158,3.89222252086486
2012,"East Melbourne",2132.66630808,48.600472361166,12.3923076303544
2012,"East Melbourne",2132.66630808,48.600472361166,3.89222252086486
2017,"East Melbourne",2199.608043336,56.4106479220228,12.3923076303544
2017,"East Melbourne",2199.608043336,56.4106479220228,3.89222252086486
2014,"East Melbourne",2161.4049072,50.599805851749,12.3923076303544
2014,"East Melbourne",2161.4049072,50.599805851749,3.89222252086486
2011,"East Melbourne",2124.630115344,45.6835001488191,12.3923076303544
2011,"East Melbourne",2124.630115344,45.6835001488191,3.89222252086486
2016,"East Melbourne",2199.890590128,56.9766137691489,12.3923076303544
2016,"East Melbourne",2199.890590128,56.9766137691489,3.89222252086486
2021,"East Melbourne",1985.965203816,57.1377839045862,12.3923076303544
2021,"East Melbourne",1985.965203816,57.1377839045862,3.89222252086486
2018,"East Melbourne",2163.095504856,56.9414015296028,12.3923076303544
2018,"East Melbourne",2163.095504856,56.9414015296028,3.89222252086486
2015,"East Melbourne",2174.653385784,53.4683474971044,12.3923076303544
2015,"East Melbourne",2174.653385784,53.4683474971044,3.89222252086486
2020,"East Melbourne",2149.271005464,55.6417685359235,12.3923076303544
2020,"East Melbourne",2149.271005464,55.6417685359235,3.89222252086486
2019,"East Melbourne",2161.74052908,56.7470429512188,12.3923076303544
2019,"East Melbourne",2161.74052908,56.7470429512188,3.89222252086486
2012,"Kensington",4166.789349096,19.3646386160121,8.29234734110362
2012,"Kensington",4166.789349096,19.3646386160121,7.8695992784431
2013,"Kensington",4266.047568816,22.1051278772868,8.29234734110362
2013,"Kensington",4266.047568816,22.1051278772868,7.8695992784431
2011,"Kensington",4085.792081712,15.701974773256,8.29234734110362
2011,"Kensington",4085.792081712,15.701974773256,7.8695992784431
2016,"Kensington",4558.19002452,32.6596622273899,8.29234734110362
2016,"Kensington",4558.19002452,32.6596622273899,7.8695992784431
2017,"Kensington",4557.934015272,32.5905833147469,8.29234734110362
2017,"Kensington",4557.934015272,32.5905833147469,7.8695992784431
2014,"Kensington",4367.42410896,24.9709501275655,8.29234734110362
2014,"Kensington",4367.42410896,24.9709501275655,7.8695992784431
2015,"Kensington",4467.586166208,28.6072254105921,8.29234734110362
2015,"Kensington",4467.586166208,28.6072254105921,7.8695992784431
2020,"Kensington",4507.5579516,32.8427743390094,8.29234734110362
2020,"Kensington",4507.5579516,32.8427743390094,7.8695992784431
2021,"Kensington",4294.886073984,33.9458680834957,8.29234734110362
2021,"Kensington",4294.886073984,33.9458680834957,7.8695992784431
2018,"Kensington",4537.751432544,33.1444574587158,8.29234734110362
2018,"Kensington",4537.751432544,33.1444574587158,7.8695992784431
2019,"Kensington",4585.319199648,33.2678776385832,8.29234734110362
2019,"Kensington",4585.319199648,33.2678776385832,7.8695992784431
2011,"Melbourne (CBD)",9149.383387584,407.599077672161,3.97246392529468
2011,"Melbourne (CBD)",9149.383387584,407.599077672161,0.322672881643316
2012,"Melbourne (CBD)",10429.76993256,427.150189243202,3.97246392529468
2012,"Melbourne (CBD)",10429.76993256,427.150189243202,0.322672881643316
2013,"Melbourne (CBD)",12416.891861088,427.548846938392,3.97246392529468
2013,"Melbourne (CBD)",12416.891861088,427.548846938392,0.322672881643316
2014,"Melbourne (CBD)",14070.027871152,433.015198947365,3.97246392529468
2014,"Melbourne (CBD)",14070.027871152,433.015198947365,0.322672881643316
2015,"Melbourne (CBD)",15539.914334736,452.157915194754,3.97246392529468
2015,"Melbourne (CBD)",15539.914334736,452.157915194754,0.322672881643316
2016,"Melbourne (CBD)",16817.672101824,476.530644950917,3.97246392529468
